,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
970,Hf1 Nb0.5 O0.1 Ta0.5 Ti1 Zr1,CAST,C,25.0,9.29,9.000474978,BCC,,1100.0,,,,50.0,50.0,,Prof.Yeh-RHEA,0.6008497810601919
128,Al0.4 Cr1 Cu1 Fe1 Ni2,,,25.0,7.8,7.758780509,FCC,,,,,190.4548045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5179572835346796
939,Hf1 Nb1 Ti1 Zr1,WROUGHT,,,,8.4,BCC,,,,69.7,89.0,,,10.1016/j.intermet.2019.04.003,,0.5607635345070577
1188,Nb1 Ti1 V2 Zr1,,,600.0,6.3,6.404764627,BCC,,571.0,,,104.6359102,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.42756648213360676
971,Hf1 Nb0.5 O0.05 Ta0.5 Ti1 Zr1,CAST,C,25.0,9.29,9.141264456,BCC,,955.0,,,,50.0,50.0,,Prof.Yeh-RHEA,0.6102485435964639
735,Cr1 Nb1 Ta1 Ti1,CAST,,,,9.4,BCC,495.0,,,,162.0,,,10.1016/j.matdes.2018.06.003,,0.6275210981388504
1062,Mo1 Nb1 Ta1 W1,CAST,C,25.0,,13.7,BCC,,996.0,1148.0,,250.0,2.0,,10.1016/j.msea.2017.12.004,,0.9145786217555584
174,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.2,,,25.0,7.3,7.320414388,BCC,579.0,,,,176.7009301,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.48869302931799996
937,Hf1 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,8.1,BCC,,1120.0,1376.0,,95.0,30.0,,10.1016/j.ijrmhm.2014.07.009,,0.54073626541752
582,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,ANNEAL,C,25.0,,7.8,FCC,275.0,620.0,,,,75.0,,10.1016/j.jallcom.2014.12.157,,0.5207089963279822
1010,Mo1.7 Nb1 Ti1 V1 Zr1,,C,25.0,7.5,7.464302832,BCC,,1645.0,,,161.2548363,15.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4982986712742096
671,Co1 Mn1 Ni1,WROUGHT,T,25.0,,8.4,FCC,,231.0,653.0,,202.0,62.5,,10.1016/j.actamat.2014.08.026,,0.5607635345070577
700,Co1 Cr1 Fe1 Ni1,,T,25.0,8.2,8.175043328,FCC,,274.0,708.0,,225.7139231,39.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5457459751616214
1075,Mo1 Nb1 Ti1 V0.25 Zr1,CAST,C,25.0,,7.3,BCC,,1776.0,3893.0,,142.0,30.0,,10.1007/s11837-012-0366-5,,0.48733021451208586
1199,Co1 Ni1,,C,25.0,8.875,8.870783937,FCC,,107.0,,,204.5271493,42.4,,,Prof.Yeh-3dtransitional,0.592191923138161
678,Co1 Cr1 Cu1 Fe1,,,25.0,8.2,8.196451779,FCC,134.0,,,,207.5263345,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.547175151191512
1198,Nb1 Ti1 V1 Zr1,CAST,C,25.0,6.521,6.458317279,BCC,,1051.0,,,100.1988131,50.0,50.0,,Prof.Yeh-RHEA,0.43114152670714806
371,Al1 Nb1 Ti1 V1 Zr0.5,,C,25.0,5.64,5.6,,,1480.0,,,,50.0,,10.1016/j.matlet.2015.08.099,,0.3738423563380385
44,Al0.25 Co1 Fe1 Ni1,,C,25.0,7.9,7.886957534,FCC,138.0,158.0,,,191.8170678,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.526514069437251
442,Al1 Cu1 Fe1 Ni1 Ti1,,C,25.0,6.105,6.105067309,BCC,516.0,1070.0,,146.0,136.9184166,8.2,,,Prof.Yeh-3dtransitional,0.40755941935694423
578,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,290.65,619.0,,,,,10.1007/s11661-019-05231-y,,0.5340605090543407
270,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1000.0,,6.3,BCC,,116.0,,,156.0,,,10.1007/s11661-005-0218-9,,0.4205726508802933
478,Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,FCC,,476.0,947.0,,212.0,69.4,,10.1016/j.msea.2019.138039,,0.5140332399648029
999,Mo0.5 Nb1 Ti1 V1 Zr1,,C,25.0,6.8,6.822863505,BCC,,1473.0,,,122.3241237,32.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4554777445860729
158,Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,,6.9,,,1100.0,,,,,10.0,10.1016/j.jallcom.2018.01.247,,0.4606271890593689
1103,Mo1 Nb1 Ta1 V1 W1,CAST,C,25.0,12.4,12.37616704,BCC,535.5,1246.0,,,229.2405322,1.7,1.7,,Prof.Yeh-RHEA,0.8262027586904941
76,Al0.304 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,7.6,FCC,,,,,210.0,87.0,,10.1016/j.msea.2015.02.072,,0.5073574836016236
394,Al8 Co20 Cr18 Fe9 Nb4 Ni41,ANNEAL,C,,,7.783905237,FCC,,,,,196.765211,,,,Paper_Collection_6_element,0.519634549162871
70,Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,,,25.0,7.6,7.551427889,FCC,487.0,,,,200.778353,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5041149278108107
464,Al1 Nb1 Ti1 V1,ANNEAL,C,25.0,5.59,5.496265861,BCC,443.5,1020.0,,,103.9545112,5.0,5.0,,Prof.Yeh-RHEA,0.3669173179529568
344,Al1 Cu1 Fe1 Ni1 Ti1,CAST,C,25.0,,6.1,FCC,516.0,1074.0,1617.0,146.0,137.0,,8.0,10.1016/j.apsusc.2015.07.207,,0.40722113815393474
168,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,FCC,225.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5088047625470745
572,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,1362.74,1471.0,,220.0,19.01,,10.1007/s11661-019-05231-y,,0.5340605090543407
286,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,CAST,,25.0,,6.2,BCC,402.0,,,,171.0,,,10.1016/j.jallcom.2008.07.124,,0.41389689451711403
889,Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,120.0,,9.9,BCC,,,,87.7,107.0,,,10.1016/j.jallcom.2019.05.322,,0.6608998799547466
529,Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,25.0,,8.3,FCC,,300.0,,,206.0,50.2,,10.1007/s11665-018-3837-1,,0.5540877781438786
435,Al1 Cr1 Mo1 Nb1 Ti1,,,400.0,6.6,6.565952966,BCC,,1080.0,,,170.0203827,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.43832702293110226
23,Al0.20 Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,7.7,7.739021059,FCC,171.0,220.0,,,211.7652315,56.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5166381907939753
523,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,ANNEAL,,25.0,,7.8,FCC,509.0,,,,,,,10.1016/j.actamat.2011.06.041,,0.5207089963279822
522,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,FCC,,309.0,,,231.0,82.0,,10.1016/j.ijplas.2018.10.005,,0.5741150472334162
123,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,T,-70.0,,7.1,,,570.0,1143.0,,,18.0,,10.1016/j.actamat.2016.11.016,,0.4739787017857273
43,Al0.25 Co1 Cr1 Fe1 Ni1,,,25.0,7.7,7.719849722,FCC,113.0,,,,212.7722739,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5153583590442913
