,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
759,Mo1 Nb1 Ta1 V1 W1,,,600.0,12.4,12.37616704,BCC,,862.0,,,229.2405322,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.3482251425016462
78,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.088964376,BCC,500.0,1841.0,2269.0,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.7437151825354185
753,Mo1 Nb1 Ta1 Ti1 V1,CAST,C,25.0,9.29,9.368307877,BCC,,1400.0,,,170.7411036,33.0,33.0,,Prof.Yeh-RHEA,0.5655628764527897
439,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,,C,25.0,7.825,7.824929394,FCC,186.0,620.0,,,210.1041187,75.0,,,Prof.Yeh-3dtransitional,0.2504635595719497
548,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,BCC,505.0,1512.0,,,137.0,,,10.1016/j.intermet.2015.03.013,,0.6108079065690128
774,Mo1 Nb1 Ta1 W1,,C,25.0,13.7,13.65986331,BCC,454.0,1058.0,1211.0,,250.0231927,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4274039452050368
110,Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,,800.0,7.6,7.557222162,BCC,,796.0,,,108.974285,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.321562892611729
404,Co1 Cr1 Ni1,WROUGHT,T,25.0,,8.3,FCC,,300.0,860.0,,,60.0,,10.1016/j.actamat.2014.08.026,,0.12119204495416921
783,Mo1 Nb1 Ti1 V0.75 Zr1,CAST,C,25.0,7.165,7.163833007,BCC,,1710.0,,,141.0583056,29.3,15.5,,Prof.Yeh-RHEA,0.6907946562387646
567,Hf1 Mo1 Nb1 Ti1 Zr1,ANNEAL,C,1200.0,,8.7,BCC,,187.0,194.0,,128.0,,,10.1016/j.matdes.2015.05.019,,0.07554304135476547
