,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
38,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,FCC,,547.0,840.0,,185.0,11.0,,10.3390/e21020169,,0.22097349529976854
175,Al1 Cr1 Mo1 Ti1,ANNEAL,C,1200.0,,6.0,BCC,,100.0,,,189.0,,,10.1007/s11661-017-4386-1,,0.04039734831805641
245,Al1 Cr1 Fe1 Mo0.2 Ni1,,C,25.0,6.5,6.487648344,BCC,549.0,1487.0,3222.0,,187.5301653,29.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6007085694894987
722,Mo1 Nb1 Ta1 V1 W1,CAST,C,25.0,,12.4,BCC,536.0,1246.0,1270.0,,229.0,13.0,,10.1016/j.intermet.2011.01.004,,0.5033509600429829
587,Hf1 Nb1 Ta1 Ti1,ANNEAL,C,600.0,,10.9,BCC,,473.0,,,119.0,,,10.1016/j.actamat.2019.06.006,,0.1910794575444068
659,Mo0.135 Nb0.205 Ti0.24 V0.20 Zr0.22,CAST,C,25.0,6.845,6.835399701,BCC,,1475.5,,,126.8650501,29.75,22.0,,Prof.Yeh-RHEA,0.5960628744329223
745,Mo1 Nb1 Ti1 Zr1,CAST,C,25.0,,7.3,BCC,,1592.0,3450.0,,143.0,34.0,,10.1007/s11837-012-0366-5,,0.643125785223458
154,Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.6,BCC,,1005.0,1045.0,,119.0,,,10.1016/j.jallcom.2015.08.224,,0.40599335059646685
287,Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,FCC,,518.0,744.0,240.0,238.0,36.0,,10.1016/j.actamat.2019.04.017,,0.2092582642875322
527,Hf0.5 Ti2 V1 Zr1,CAST,C,25.0,6.47,6.498698848,BCC,,1160.0,,,99.54231228,50.0,50.0,,Prof.Yeh-RHEA,0.4686092404894543
17,Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,CAST,C,25.0,,7.1,BCC,,1465.0,2016.0,190.0,174.0,2.0,,10.1016/j.msea.2006.11.049,,0.5918211528595263
127,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,1100.0,,6.3,BCC,,79.0,,,156.0,,,10.1007/s11661-005-0218-9,,0.03191390517126456
322,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,FCC,,309.0,,,231.0,82.0,,10.1016/j.ijplas.2018.10.005,,0.12482780630279429
255,Al1 Cu1 Fe1 Ni1 Ti1,,C,25.0,6.1,6.105067309,FCC,516.0,1074.0,1617.0,145.0,136.9184166,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4338675209359258
862,Co1 Cr1 Ni1,,C,25.0,8.275,8.278316008,FCC,,300.0,,,230.8052709,59.7,,,Prof.Yeh-3dtransitional,0.12119204495416921
835,Mo0.1 Nb1 Ti1 V0.3,,C,25.0,6.6,6.651535095,BCC,,932.0,,,120.4416961,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.3765032863242857
190,Al1 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,6.4,BCC,537.0,1375.0,1400.0,,147.0,3.0,,10.3390/e16020870,,0.5554635393732755
115,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.1,BCC,427.0,1415.0,2050.0,102.0,103.0,30.0,,10.1016/j.jallcom.2014.11.064,,0.5716224787004981
707,Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,25.0,,11.0,BCC,,1515.0,2135.0,,209.0,,,10.1016/j.intermet.2017.01.007,,0.6120198270185545
180,Al1 Cu1 Fe1 Ni1 Ti1,CAST,C,25.0,,6.1,FCC,516.0,1074.0,1617.0,146.0,137.0,,8.0,10.1016/j.apsusc.2015.07.207,,0.4338675209359258
