FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Mo1 Nb1 Ta1 Ti0.5 W1,CAST,C,25.0,,12.6,1,481.2,1211.0,1578.0,,234.0,,,10.1016/j.msea.2017.12.004,,1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.938913534,1,505.0,1512.0,,147.0,137.0328224,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,WROUGHT,T,25.0,,8.0,1,,1290.0,1415.0,,220.0,1.1,,10.1016/j.msea.2019.01.112,,1
Co1 Cr1 Fe1 Ni1 Ti1,CAST,C,25.0,,7.2,0,,,2020.0,135.0,195.0,,9.0,10.1016/j.msea.2008.12.053,,0
Nb1 Ta1 Ti1,WROUGHT,C,20.0,,10.0,1,,573.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,1
Nb1 Ti1 V0.3 Zr1,,C,25.0,6.5,6.509762281,1,,866.0,,,95.93634497,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,8.1,1,,1120.0,1376.0,,95.0,30.0,,10.1016/j.ijrmhm.2014.07.009,,1
Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,23.0,8.68,8.7,1,,1575.0,,,128.0,,,10.1016/j.actamat.2019.06.032,,1
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1000.0,5.98,6.0,1,,375.0,,,189.0,,,10.1016/j.actamat.2019.06.032,,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,520.0,1370.0,,,184.2786056,15.0,,,Prof.Yeh-3dtransitional,1
Al0.1 Co1 Cr1 Fe1 Ni1,ANNEAL,C,23.0,,7.983409687,2,,366.0,715.0,,220.2655703,46.0,,,Paper_Collection_5_element,2
Nb1 Ta1 Ti1,WROUGHT,C,400.0,,10.0,1,,232.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,1
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,,C,25.0,6.8,6.803137068,1,,1804.0,2280.0,,187.8028973,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 Ti1,ANNEAL,C,400.0,,10.0,1,,685.0,,,179.0,,,10.1016/j.actamat.2019.06.006,,1
Mo1 Nb1 Ta1 Ti1,ANNEAL,,,,10.0,1,407.0,,,,179.0,,,10.1016/j.matdes.2018.06.003,,1
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,CAST,C,25.0,,6.8,1,,1804.0,2280.0,,188.0,,9.0,10.1016/j.msea.2010.07.028,,1
Al0.75 Mo1 Nb1 Ti1 V1,,C,25.0,6.6,6.597193785,1,517.0,1260.0,,,151.0042854,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,1000.0,7.7,7.706514339,1,,166.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,8.2,0,113.0,,,,226.0,70.0,,10.1016/j.jallcom.2009.08.090,,0
Al0.245 Mo0.1 Nb0.19 Ti0.15 V0.315,CAST,C,25.0,5.87,5.907716601,2,,843.0,,,125.9258887,1.0,1.0,,Prof.Yeh-RHEA,2
Al1 Cr0.5 Nb1 Ti1 V1,,C,25.0,5.6,5.637471918,1,,1300.0,1430.0,,118.5332335,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,700.0,,9.9,1,,,,79.6,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Mo1 Nb1 Ti1 V2.0 Zr1,,C,25.0,7.0,6.987813039,1,,1538.0,3176.0,,138.8504308,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,7.2,7.151614207,0,,,2020.0,203.0,195.170853,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,800.0,9.95,9.938913534,1,,1007.0,,,137.0328224,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1 Si1,,C,25.0,5.7,5.651384641,1,,1110.0,,,150.9268735,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,623.0,746.0,223.0,213.0,53.0,,10.1016/j.actamat.2019.04.017,,0
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.8,1,318.9,1025.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,ANNEAL,,25.0,,6.5,1,499.0,,,,177.0,,,10.1016/j.jallcom.2009.08.090,,1
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,600.0,,6.3,1,,805.0,,,156.0,,,10.1007/s11661-005-0218-9,,1
Hf1 Nb1 Ta1 Ti1 Zr1,CAST,T,25.0,,9.9,1,359.0,1155.0,1212.0,59.0,107.0,50.0,,10.3390/e21020114,,1
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.5,0,,,,,185.0,,,10.1063/1.3587228,,0
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,CAST,C,25.0,,7.9,1,,1176.0,1538.0,,,,25.0,10.1016/j.intermet.2015.09.011,,1
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,0,,159.0,410.0,,,43.0,,10.1016/j.matdes.2017.02.072,,0
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,23.0,10.18,10.2,1,,1600.0,,,143.0,,,10.1016/j.actamat.2019.06.032,,1
Al1 Nb1 Ta1 Ti1,CAST,,,,8.2,1,458.0,,,,120.0,,,10.1016/j.matdes.2018.06.003,,1
Mo1 Nb1 Ti1 V0.25 Zr1,CAST,C,25.0,,7.3,1,,1776.0,3893.0,,142.0,30.0,,10.1007/s11837-012-0366-5,,1
Co1 Cr0.2 Fe1 Ni1 Si0.2,CAST,T,25.0,,7.8,0,130.1,225.0,732.0,,195.0,61.0,,10.1016/j.jmmm.2019.01.096,,0
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,CAST,T,25.0,,8.2,1,301.0,903.0,990.0,,103.0,19.0,,10.1063/1.4966659,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.6,,,25.0,7.2,7.245214601,1,594.0,,,,173.6429946,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,CAST,,25.0,,7.3,1,577.0,,,,175.0,,,10.1007/s11661-006-0081-3,,1
Mo0.3 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,6.8,1,,1312.0,,,112.0,,50.0,10.1016/j.matdes.2015.06.072,,1
Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,8.335,8.331325886,0,132.0,230.0,,55.6,206.0965696,,,,Prof.Yeh-3dtransitional,0
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,0,,309.0,,,231.0,82.0,,10.1016/j.ijplas.2018.10.005,,0
Al1.125 Cu1 Fe0.75 Ni1 Ti1.125,,C,25.0,5.885,5.879319466,0,516.0,980.0,,145.0,131.1704646,6.6,,,Prof.Yeh-3dtransitional,0
Al1 Cu1 Ni1 Ti1,CAST,C,25.0,,5.7,0,537.0,300.0,536.0,108.0,122.0,,0.85,10.1016/j.apsusc.2015.07.207,,0
Al1 Co1 Fe1 Ni1,CAST,C,25.0,,6.6,1,456.0,964.0,,,162.0,,,10.1016/j.jmmm.2014.07.023,,1
Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,8.0,0,176.0,208.0,,,220.0,4.37,,10.1016/j.actamat.2013.09.037,,0
Nb1 Ta1 V1 W1,,C,25.0,12.9,12.88664201,1,492.0,1530.0,,,205.5328097,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.2,0,,170.0,550.0,,204.0,41.0,,10.1016/j.actamat.2014.08.026,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,0,225.0,,,,189.0,,,10.2320/matertrans.47.1395,,0
Mo0.5 Nb1 Ti1 V1 Zr1,CAST,C,25.0,6.8,6.822863505,1,,1473.0,,,122.3241237,32.0,32.0,,Prof.Yeh-RHEA,1
Nb1 Ta1 Ti1 V1,CAST,C,25.0,,9.2,1,,965.0,,,134.0,,,10.1016/j.msea.2016.07.102,,1
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,T,25.0,,8.3,0,,,799.0,,232.0,47.0,,10.3390/e21050448,,0
Cr1 Cu1 Fe1 Mn1 Ni1,CAST,T,25.0,,8.1,2,,628.0,950.0,,,,,10.1016/j.matchemphys.2018.09.033,,2
Mo1 Nb1 Ta1 V1 W1,,,800.0,12.4,12.37616704,1,,846.0,,,229.2405322,17.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.97,9.938913534,1,,1512.0,,115.0,137.0328224,12.0,10.0,,Prof.Yeh-RHEA,1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,,1512.0,,,137.0,12.0,,10.3390/e21010015,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,25.0,,7.6,0,,388.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,,0
Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,,7.4,0,207.0,,,,,,,10.3166/acsm.31.633-648,,0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,1120.0,,,,,,10.1016/j.msea.2018.10.094,,0
Hf1 Ta1 Ti1 Zr1,CAST,T,25.0,,10.2,1,,1500.0,1500.0,,107.0,,,10.1002/adma.201701678,,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,900.0,,7.4,0,,243.0,319.0,,185.0,6.0,,10.3390/e21020169,,0
Co1 Cr1 Fe1 Ni1,ANNEAL,C,,,8.175043328,2,449.0,,,,225.7139231,,,,Paper_Collection_4_element,2
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,985.0,1004.0,,107.0,,,10.1016/j.jallcom.2019.04.291,,1
Cr1 Mo1 Ta1 Ti1,CAST,,,,9.9,1,539.0,,,,,,,10.1016/j.matdes.2018.06.003,,1
Hf1 Nb1 Ta1 Ti1,ANNEAL,C,600.0,,10.9,1,,473.0,,,119.0,,,10.1016/j.actamat.2019.06.006,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,60.0,,9.9,1,,,,88.4,107.0,9.7,,10.1016/j.jallcom.2019.05.322,,1
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,CAST,,25.0,,7.3,1,579.0,,,,177.0,,,10.1007/s11661-006-0081-3,,1
Cr1 Cu1 Fe1 Mn1 Ni1,ANNEAL,T,25.0,,8.1,2,,534.0,682.0,,,5.0,,10.1016/j.matchemphys.2018.09.033,,2
Al1 Cr1 Mo1 Nb1 Ti1,,,1200.0,6.6,6.565952966,1,,105.0,,,170.0203827,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,CAST,,25.0,,3.0,2,,,,,,,,10.1007/s11837-015-1402-z,,2
Cr1 Mo1 Ta1 Ti1,ANNEAL,,,,9.9,1,555.0,,,,,,,10.1016/j.matdes.2018.06.003,,1
Al0.25 Nb1 Ta1 Ti1 V1,CAST,C,25.0,8.8,8.794810956,1,,1330.0,,92.0,130.4925823,50.0,50.0,,Prof.Yeh-RHEA,1
Al1 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,6.24,6.228043003,1,,1860.0,,119.0,169.2125674,9.0,,,Prof.Yeh-3dtransitional,1
Al1.5 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,5.9,5.896411178,1,,,2110.0,172.0,159.8915821,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,800.0,8.1,8.088884841,1,,362.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,CAST,T,25.0,,7.5,0,,280.0,556.0,,204.0,48.0,48.2,10.1016/j.msea.2019.05.056,,0
Mo1 Nb1 Ta1 W1,CAST,C,800.0,,13.7,1,,552.0,,,250.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Hf1 Sc1 Ti1 Y1 Zr1,CAST,C,25.0,,6.2,2,256.0,793.0,,,,15.7,,10.1007/s00339-019-2484-1,,2
Mo0.5 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,6.8,1,,1473.0,,,122.0,,32.0,10.1016/j.matdes.2015.06.072,,1
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1200.0,,6.0,1,,100.0,,,189.0,,,10.1007/s11661-017-4386-1,,1
Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,ANNEAL,C,25.0,,7.5,1,,1576.0,,,159.0,,8.0,10.1016/j.matdes.2015.06.072,,1
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,0,,950.0,,,231.0,36.0,,10.1016/j.ijplas.2018.10.005,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,972.0,1000.0,,107.0,,,10.1016/j.jallcom.2019.04.291,,1
Hf1 Mo1 Nb1 Ta1 Ti1,CAST,C,25.0,,10.8,1,,1369.0,,,155.0,27.0,,10.3390/e21010015,,1
Mo1 Nb1 Ta1 Ti1,ANNEAL,C,100.0,,10.0,1,,1029.0,,,179.0,,,10.1016/j.actamat.2019.06.006,,1
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,600.0,6.3,6.271288576,1,,805.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1 Si1,,C,25.0,5.655,5.651384641,1,,1110.0,,,150.9268735,1.0,,,Prof.Yeh-3dtransitional,1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1200.0,9.93,9.9,1,,556.0,,,137.0,,,10.1016/j.actamat.2019.06.032,,1
Al2 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,5.6,5.621741192,1,643.0,,1030.0,165.0,152.1715905,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,,,25.0,7.3,7.319238709,0,321.0,,,,181.8865426,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,0,215.0,,,,189.0,,,10.1007/s11661-006-0081-3,,0
Mo1 Nb1 Ta1 V1 W1,POWDER,C,25.0,,12.4,1,,2612.0,3472.0,,229.0,2.0,,10.1016/j.msea.2017.12.021,,1
Nb1 Ta1 Ti1 W1,ANNEAL,C,800.0,,12.1,1,,564.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,CAST,C,200.0,,10.4,1,,650.0,,,122.0,,,10.1080/14786435.2015.1028506,,1
Cr1 Fe1 Mo0.2 Ni3,ANNEAL,C,,,8.427662237,0,238.0,,,,224.777957,,,,Paper_Collection_4_element,0
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,0,,461.0,560.0,,,12.0,,10.3390/e21020169,,0
Al1 Co1 Cu1 Fe1 Nb1 Ni1,,,25.0,7.4,7.39087831,2,578.0,,,,144.3253262,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Nb1 Ti1 Zr1,CAST,C,25.0,,6.5,1,372.0,1223.0,,,94.0,,,10.1007/s12598-019-01310-6,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,1100.0,7.6,7.621679625,0,,80.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,320.0,,,220.0,,,10.1016/j.msea.2019.04.025,,0
Cr1 Mo1 Nb1 Ti1,ANNEAL,C,600.0,,7.6,1,,1062.0,,,196.0,,,10.1016/j.actamat.2019.06.006,,1
C0.5 Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,7.6,0,,520.9,791.0,,,40.3,,10.1016/j.msea.2019.01.050,,0
Hf1 Nb1 Ta1 Ti1,ANNEAL,,,,10.9,1,280.0,,,,119.0,,,10.1016/j.matdes.2018.06.003,,1
Al1 Co1 Cr1 Cu1 Ni1 Ti1,,C,25.0,6.4,6.385100199,1,,,1495.0,167.0,157.2914594,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.225 Hf0.05 Mo0.105 Nb0.185 Ti0.175 V0.26,CAST,C,25.0,6.27,6.429196025,2,,876.0,,,124.5215411,1.0,1.0,,Prof.Yeh-RHEA,2
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.6,1,332.4,1115.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Mo1 Nb1 Ti1 V1 Zr1,CAST,C,25.0,,7.1,1,,1786.0,3828.0,,,,,10.1007/s11837-012-0366-5,,1
Mo1 Nb1 Ta1 V1 W1,CAST,C,1000.0,,12.4,1,,842.0,,,229.0,7.5,,10.1016/j.intermet.2011.01.004,,1
Mo1 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,7.1,1,,1779.0,,,141.0,,32.0,10.1016/j.matdes.2015.06.072,,1
Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,0,,518.0,744.0,240.0,238.0,36.0,,10.1016/j.actamat.2019.04.017,,0
Co1 Cr1 Fe1 Ni1,WROUGHT,T,-253.0,,8.2,0,,,1240.0,,226.0,,,10.1007/s40843-018-9373-y,,0
Mo1 Nb1 Ta1 W1,POWDER,,400.0,,13.7,1,425.0,,,,250.0,,,10.1007/s10853-019-03567-9,,1
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1000.0,,10.2,1,,855.0,,,143.0,,,10.1016/j.intermet.2015.03.013,,1
Al0.25 Cr0.417 Fe0.417 Ni1,CAST,T,25.0,,7.3,0,,441.0,757.0,,196.0,45.0,,10.1016/j.jallcom.2018.08.176,,0
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.1,1,427.0,1415.0,2050.0,102.0,103.0,30.0,,10.1016/j.jallcom.2014.11.064,,1
Al1 Cr1 Mo1 Nb1,CAST,,,,7.2,2,,,,,,,,10.1016/j.matdes.2018.06.003,,2
Mo1 Nb1 Ta1 V1 W1,,,1600.0,12.4,12.37616704,1,,477.0,,,229.2405322,40.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ti1 V0.3,CAST,C,25.0,7.3,7.557003239,1,,1455.0,,,173.2411084,25.0,25.0,,Prof.Yeh-RHEA,1
Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,ANNEAL,C,25.0,,7.3,1,,1496.0,,,150.0,,30.0,10.1016/j.matdes.2015.06.072,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,1199.26,1335.0,,220.0,1.58,,10.1007/s11661-019-05231-y,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.8,,,25.0,7.2,7.211048262,1,597.0,,,,172.2536494,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Cr1 Cu1 Fe1 Mn1 Ni1,ANNEAL,T,25.0,,8.1,2,,502.0,671.0,,,4.6,,10.1016/j.matchemphys.2018.09.033,,2
Cr1 Fe1 Mo0.1 Ni5,ANNEAL,C,,,8.523525141,0,257.0,,,,215.9758131,,,,Paper_Collection_4_element,0
Al1 Nb1 Ta1 Ti1,CAST,C,100.0,,8.2,1,,740.0,,,120.0,,,10.1016/j.actamat.2019.06.006,,1
Co1 Fe1 Ni1,,C,25.0,8.525,8.524402703,0,124.5,208.5,,,206.7823096,,,,Prof.Yeh-3dtransitional,0
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.7,1,322.5,1065.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Hf1 Mo1 Nb1 Ta1 Zr1,CAST,C,1400.0,,10.9,1,,278.0,,,141.0,,,10.3390/e21010015,,1
Co1 Fe1 Ni1 V1,CAST,,25.0,,7.8,0,238.0,,,,184.0,,,10.1016/j.jallcom.2015.07.185,,0
Mo1.3 Nb1 Ti1 V1 Zr1,,C,25.0,7.3,7.279138633,1,,1496.0,,,150.0167131,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Mo0.5 Nb1 Ti1 V0.5,CAST,C,1000.0,,9.0,1,,368.0,394.0,,126.0,,,10.1016/j.jallcom.2016.10.014,,1
Al0.20 Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,7.7,7.739021059,0,171.0,220.0,,,211.7652315,56.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,300.0,,7.6,0,,411.0,,,,27.0,,10.1007/s11661-005-0218-9,,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,,C,25.0,6.1,6.058270172,2,,,1025.0,,141.3526985,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,,6.6,1,,150.0,,,,,,10.1007/s11661-017-4386-1,,1
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,25.0,,11.8,1,,1343.0,2005.0,,222.0,,,10.1016/j.intermet.2017.01.007,,1
Nb1 Ti1 V2 Zr1,,,600.0,6.3,6.404764627,1,,571.0,,,104.6359102,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,1,487.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.8,7.107882584,2,736.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Mo1.3 Nb1 Ti1 V0.3,CAST,C,25.0,7.4,7.764873617,1,,1603.0,,,185.3623894,20.0,20.0,,Prof.Yeh-RHEA,1
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.97,9.928762404,1,,1370.0,,109.0,130.2953678,50.0,50.0,,Prof.Yeh-RHEA,1
Co1 Cr1 Fe1 Ni1,ANNEAL,C,,,8.175043328,2,187.0,,,,225.7139231,,,,Paper_Collection_4_element,2
Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.6,6.597193785,1,517.0,1260.0,,154.0,151.0042854,8.0,7.0,,Prof.Yeh-RHEA,1
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,1000.0,6.3,6.271288576,1,,116.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 Ti1,CAST,,,,10.0,1,431.0,,,,179.0,,,10.1016/j.matdes.2018.06.003,,1
Hf1 Mo1 Ta1 Ti1 Zr1,,C,25.0,10.2,10.19147746,1,542.0,1600.0,,,142.9802846,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Zr1,,C,25.0,11.1,11.06162515,1,365.0,1315.0,,,104.9436304,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ti1 Zr1,CAST,T,25.0,,8.4,1,,879.0,969.0,,89.0,,14.9,10.1016/j.matlet.2014.05.134,,1
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,800.0,,11.8,1,,674.0,1618.0,,222.0,,,10.1016/j.intermet.2017.01.007,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,600.0,,9.9,1,,,,80.7,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Co1 Cr1 Fe1 Ni1,POWDER,,,,8.2,0,,,,,226.0,39.0,,10.3390/coatings9010016,,0
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,,,25.0,3.0,2.954533092,2,,,,,53.23658334,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Al0.25 Nb1 Ta1 Ti1 V1,,C,25.0,8.8,8.794810956,1,,1330.0,,130.0,130.4925823,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,300.0,676.0,,220.0,57.0,,10.1016/j.jmst.2018.09.068,,0
Al0.5 Cr1 Cu1 Fe1 Ni1,WROUGHT,,,,7.4,0,287.0,,,,185.0,,,10.1007/s11665-018-3822-8,,0
Mo1.3 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.3,7.279138633,1,,1496.0,,,150.0167131,30.0,30.0,,Prof.Yeh-RHEA,1
Al0.5 Nb1 Ta0.8 Ti1.5 V0.2 Zr1,,C,25.0,7.6,7.557222162,1,530.0,2035.0,2105.0,,108.974285,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
