FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,0,,547.0,840.0,,185.0,11.0,,10.3390/e21020169,,0
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,600.0,,8.4,0,,214.0,,,202.0,,189.2,10.1016/j.scriptamat.2019.02.038,,0
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,ANNEAL,,25.0,,6.2,1,517.0,,,,171.0,,,10.1016/j.jallcom.2009.08.090,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,2,,650.0,790.0,,189.0,,,10.1016/j.jallcom.2009.10.088,,2
Co1 Cr1 Fe1 Mn1 Ni1,POWDER,T,25.0,7.5,8.0,2,410.9,,,184.0,220.0,2.0,,10.1016/j.jallcom.2019.07.195,,2
Al1 Co1 Fe1 Ni1,,C,25.0,6.6,6.604716099,1,456.0,964.0,,,161.7140033,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,559.0,1004.0,,212.0,33.9,,10.1016/j.msea.2019.138039,,0
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,CAST,C,25.0,,7.5,0,279.6,268.0,,,167.0,,,10.1016/j.jmst.2018.12.014,,0
Hf0.25 Ti1 V0.5 Zr0.5,CAST,C,600.0,,6.5,1,338.3,405.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,1200.0,,11.8,1,,586.0,814.0,,222.0,,,10.1016/j.intermet.2017.01.007,,1
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,,C,25.0,5.8,5.826821544,2,,,1192.0,,130.0654727,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Mo2 Nb1 Ti1 V1 Zr1,,C,25.0,7.6,7.588602845,1,,1765.0,,,168.7989452,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,8.0,0,,210.0,,,220.0,57.0,,10.1016/j.msea.2019.04.025,,0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,800.0,888.0,,220.0,6.0,,10.1016/j.jmst.2018.09.068,,0
Al1 Co1 Cr1 Fe1 Ni1,,,25.0,6.7,6.717648579,1,395.0,,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,5.9,5.851613812,1,800.0,,,,119.4237557,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,100.0,,9.9,1,,,,87.9,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Co1 Cr1 Fe1 Ni1 W0.2,CAST,C,25.0,,8.9,0,244.0,335.0,,,238.0,52.0,,10.1016/j.intermet.2019.106550,,0
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,25.0,,8.4,1,,890.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Mo0.3 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,6.7,1,,1289.0,,,114.0,,42.0,10.1016/j.matdes.2015.06.072,,1
Co1 Cr1 Fe1 Ni1,ANNEAL,C,,,8.175043328,2,445.0,,,,225.7139231,,,,Paper_Collection_4_element,2
Hf1 Nb0.5 O0.1 Ta0.5 Ti1 Zr1,CAST,C,25.0,9.29,9.000474978,1,,1100.0,,,,50.0,50.0,,Prof.Yeh-RHEA,1
Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,8.3,8.331325886,0,286.0,230.0,888.0,206.0,206.0965696,51.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,,,25.0,7.6,7.551427889,0,487.0,,,,200.778353,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,492.0,1373.0,,109.0,130.0,50.0,,10.1016/j.matlet.2016.03.133,,1
Al0.3 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.9,7.882943926,0,180.0,,,,195.2637304,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,505.0,1512.0,1800.0,115.0,137.0,30.0,,10.1016/j.matlet.2016.03.133,,1
Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,1000.0,8.68,8.7,1,,635.0,,,128.0,,,10.1016/j.actamat.2019.06.032,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,260.0,,9.9,1,,,,86.3,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1000.0,,6.5,1,,540.0,,,,,,10.1007/s11661-017-4386-1,,1
Mo1 Nb1 Ti1 V0.50 Zr1,,C,25.0,7.2,7.207997756,1,,1647.0,3307.0,,141.6122782,28.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,WROUGHT,T,20.0,,8.2,0,,446.0,664.0,189.0,226.0,65.0,,10.1007/s40843-018-9373-y,,0
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,25.0,,11.0,1,,1515.0,2135.0,,209.0,,,10.1016/j.intermet.2017.01.007,,1
Al0.875 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,6.9,1,538.0,,,,188.0,,,10.1016/j.jallcom.2009.08.090,,1
Hf1 Mo1 Nb1 Ta1 Zr1,CAST,C,25.0,,10.9,1,,1524.0,,,141.0,16.0,,10.3390/e21010015,,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,,1050.0,,,184.2786056,22.0,,,Prof.Yeh-3dtransitional,1
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,1000.0,9.1,9.088964376,1,,298.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Cr1 Fe1 Mo0.2 Ni6,ANNEAL,C,,,8.597486364,0,262.0,,,,215.9890197,,,,Paper_Collection_4_element,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,780.0,,9.9,1,,,,78.4,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Co1 Cu1 Fe1 Mn1 Ni1,CAST,,100.0,,8.4,0,,,,,189.0,,,10.1016/j.msea.2019.04.096,,0
