FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.9,1,310.4,980.0,,,101.0,50.0,,10.1007/s40195-019-00921-3,,1
Mo0.1 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,6.6,1,,932.0,,,102.0,,45.0,10.1016/j.matdes.2015.06.072,,1
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,WROUGHT,T,25.0,,8.5,1,,540.0,995.0,,92.0,,,10.1080/21663831.2016.1221861,,1
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,CAST,,25.0,,5.9,1,432.0,,,,,9.98,,10.1016/j.jallcom.2008.07.124,,1
Al0.6 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,8.7,1,,962.0,1033.0,,173.0,,,10.4028/www.scientific.net/MSF.898.638,,1
Al2.8 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,5.8,5.815313496,1,650.0,,,,145.3100973,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,520.0,1373.0,3531.0,,184.2786056,25.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,800.0,,8.7,1,,829.0,,,128.0,50.0,,10.3390/e21010015,,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1138.0,,194.0,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,700.0,7.6,7.621679625,0,,426.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Cr1 Ni1,WROUGHT,T,25.0,,8.3,0,,300.0,860.0,,,60.0,,10.1016/j.actamat.2014.08.026,,0
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,1000.0,7.1,7.147250402,1,,745.0,,,118.2773132,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Mo1 Ti1,ANNEAL,C,600.0,,6.0,1,,1020.0,,,189.0,,,10.1007/s11661-017-4386-1,,1
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1138.0,,194.0,184.2786056,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 V1 W1,CAST,C,1400.0,,12.4,1,,656.0,,,229.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Al1 Cr1 Fe1 Mo0.2 Ni1,,C,25.0,6.485,6.487648344,1,548.5,1490.0,,,187.5301653,28.7,,,Prof.Yeh-3dtransitional,1
Hf0.25 Ti1 V0.5 Zr0.5,CAST,C,800.0,,6.5,1,338.3,85.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,CAST,,25.0,,7.9,0,180.0,,,,,,12.6,10.1016/j.actamat.2013.09.037,,0
Al1 Cr1 Mo1 Nb1 Ti1,,,800.0,6.6,6.565952966,1,,860.0,,,170.0203827,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,6.4,6.442487963,1,178.0,2260.0,3140.0,187.0,175.8114219,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf0.25 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.5,1,338.3,1160.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,,,25.0,,5.5,1,657.0,,,,139.0,,,10.3166/acsm.31.633-648,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,353.0,635.0,,220.0,8.0,,10.1016/j.jallcom.2019.04.121,,0
Cr1 Fe1 Ni1 Ti0.6,CAST,C,25.0,,7.2,1,718.2,1923.15,,,204.0,,,10.1557/jmr.2019.40,,1
Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.893530612,1,295.0,1073.0,,111.0,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Fe1 Mo0.5 Ni1,,C,25.0,6.785,6.783315691,1,621.5,1750.0,,,198.7126404,12.6,,,Prof.Yeh-3dtransitional,1
Mo1 Nb1 Ta1 Ti0.25 W1,CAST,C,25.0,13.15,13.09564737,1,,1110.0,,,241.768928,2.5,2.5,,Prof.Yeh-RHEA,1
Co1 Mn1 Ni1,WROUGHT,T,25.0,,8.4,0,,333.0,569.0,190.0,202.0,38.0,,10.1016/j.actamat.2019.04.017,,0
Cu1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,6.8,6.846139111,2,590.0,,,,130.0139483,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
