FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Co1Cr1Fe1Ni1Ti1,VAM + 1000℃/2h,,,,,,,,,,,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.3,VAM,C,23.0,,6.543935387,BCC+BCC,520.0,1980.0,,,178.9331404,12.0,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.3,VAM + 500℃/2h,C,23.0,,6.543935387,BCC+BCC,550.0,2300.0,,,178.9331404,9.0,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.3,VAM + 700℃/2h,C,23.0,,6.543935387,BCC+BCC,625.0,2510.0,,,178.9331404,4.0,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.3,VAM + 900℃/2h,C,23.0,,6.543935387,BCC+BCC,545.0,1750.0,,,178.9331404,4.0,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.5,,C,25.0,6.4,6.442487963,FCC,178.0,2040.0,3135.0,187.0,175.8114219,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Ti0.5,,C,25.0,6.4,6.442487963,BCC,178.0,2260.0,3140.0,187.0,175.8114219,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Ti0.5,VAM,C,23.0,,6.442487963,BCC,,2260.0,3140.0,,175.8114219,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.5,VAM,C,,,6.442487963,BCC+BCC,,,,,175.8114219,23.0,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.5,VIM,C,,,6.442487963,BCC+B2,,,,,175.8114219,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.5,VIM + 750℃/10h,C,,,6.442487963,BCC+B2+Sec.,,,,,175.8114219,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti0.5,,C,25.0,6.45,6.442487963,FCC+BCC,178.0,2690.0,,72.6,175.8114219,,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Ti1.5,,C,25.0,6.1,6.056214673,BCC+Sec.,,2220.0,2720.0,,163.9251027,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
