FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,7.5,7.50474373,FCC,182.0,244.0,,,205.1766073,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,7.505,7.50474373,FCC,181.5,243.5,,,205.1766073,46.0,,,Prof.Yeh-3dtransitional
Al0.3 Co1 Cr1 Cu1 Fe1,,,25.0,,7.7,FCC,180.0,,,,194.0,,,10.3166/acsm.31.633-648,
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,POWDER,,,,7.6,,,,,,,,4.9,10.1016/j.scriptamat.2018.12.021,
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,,,,,7.7,FCC,200.0,,,,214.0,,,10.1016/j.jallcom.2010.02.032,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,300.0,,7.6,FCC,132.0,,,,,25.0,,10.1088/2053-1591/ab0597,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,340.0,,7.6,FCC,147.0,,,,210.0,,,10.1088/2053-1591/ab0597,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,430.0,,7.6,FCC,165.0,,,,,65.0,,10.1088/2053-1591/ab0597,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,,,,7.6,FCC,117.0,,,,210.0,,,10.1016/j.matdes.2019.107698,
Al0.3 Co1 Cr1 Fe1 Ni1,,,,,7.6,FCC,160.0,,,,210.0,,,10.1016/j.jallcom.2010.02.032,
Al0.3 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,159.0,410.0,,210.0,,,10.1016/j.actamat.2018.12.010,
Al0.3 Co1 Cr1 Cu1 Fe1,,,25.0,7.7,7.666069343,FCC,180.0,,,,194.2601286,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.9,7.882943926,FCC,180.0,,,,195.2637304,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
