FORMULA,Process Method,Measurement Method,Measuremet T (?°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Hf0.5Mo0.5Nb1Si0.5Ti1Zr1,CAST,C,25,,7.2,BCC+Sec.,524,1600,1900,,,,23,10.1016/j.jallcom.2015.11.091,
Hf0.5Mo0.5Nb1Si0.7Ti1Zr1,CAST,C,25,,7,BCC+Sec.,580,1550,1900,,,,12,10.1016/j.jallcom.2015.11.091,
Hf0.5Mo0.5Nb1Si0.9Ti1Zr1,CAST,C,25,,6.8,BCC+Sec.,640,1650,2000,,,,9,10.1016/j.jallcom.2015.11.091,
Hf0.5Mo0.5Nb1Ti1Zr1,CAST,C,25,,7.9,BCC+Sec.,400,1150,1500,,115,,,10.1016/j.jallcom.2015.11.091,
Hf0.5Mo0.5Nb1Ti1Zr1,CAST,C,25,,7.9,BCC,,1176,1538,,,,25,10.1016/j.intermet.2015.09.011,
Hf0.5Mo0.5Nb1Si0.1Ti1Zr1,,C,25,7.7,7.733358209,BCC+Sec.,442,1365,,,113.2624205,28,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Si0.1Ti1Zr1,CAST,C,25,7.715,7.733358209,BCC+Sec.,,1360,,,113.2624205,27.8,20,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Si0.3Ti1Zr1,,C,25,7.5,7.475316323,BCC+Sec.,494,1428,,,110.0986975,23,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Si0.3Ti1Zr1,CAST,C,25,7.445,7.475316323,BCC+Sec.,,1430,,,110.0986975,23.1,15,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Si0.5Ti1Zr1,,C,25,7.2,7.240792178,BCC+Sec.,524,1605,,,107.2233138,23,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Si0.5Ti1Zr1,CAST,C,25,7.165,7.240792178,BCC+Sec.,,1580,,,107.2233138,22.5,4,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Si0.7Ti1Zr1,,C,25,7,7.026710816,BCC+Sec.,580,1604,,,104.5985689,12,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Si0.7Ti1Zr1,CAST,C,25,6.675,7.026710816,BCC+Sec.,,1580,,,104.5985689,12.3,3,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Si0.9Ti1Zr1,,C,25,6.8,6.83051096,BCC+Sec.,640,1677,,,102.1930602,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Si0.9Ti1Zr1,CAST,C,25,6.83,6.83051096,BCC+Sec.,,1680,,,102.1930602,9,1,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Ti1Zr1,,C,25,7.9,7.872332196,BCC+Sec.,400,1178,,,114.9663113,25,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Ti1Zr1,CAST,C,25,7.845,7.872332196,BCC,,1180,,,114.9663113,24.6,19,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Ti1Zr1C0.1,,C,25,7.8,7.809851568,BCC+Sec.,,1183,2139,,,38,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Ti1Zr1C0.1,CAST,C,25,7.715,7.809851568,BCC+Sec.,,1180,,,,38.4,30,,Prof.Yeh-RHEA
Hf0.5Mo0.5Nb1Ti1Zr1C0.3,,C,25,7.7,7.688980345,BCC+Sec.,,1201,1965,,,33,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Mo0.5Nb1Ti1Zr1C0.3,CAST,C,25,7.7,7.688980345,BCC+Sec.,,1201,1965,,,33,25,,Prof.Yeh-RHEA
Hf0.5Nb0.25Ti2V1Zr1,CAST,C,25,6.57,6.604855931,BCC,,1115,,,99.82086809,50,50,,Prof.Yeh-RHEA
Hf0.5Nb0.5Ta0.5Ti1.5Zr1,,T,25,8.2,8.186719184,BCC,301,903,990,,103.2079302,19,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Hf0.5Nb0.5Ta0.5Ti1.5Zr1,CAST,T,25,8.13,8.186719184,BCC,,903,,,103.2079302,18.8,,,Prof.Yeh-RHEA
Hf0.5Nb0.5Ti2V1Zr1,CAST,C,25,6.66,6.700702897,BCC,,1065,,,100.0723702,50,50,,Prof.Yeh-RHEA
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-269,,8.4,BCC,,2250,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-269,,8.4,BCC,,2210,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-196,,8.4,BCC,,1880,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-196,,8.4,BCC,,1750,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-153,,8.4,BCC,,1640,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-153,,8.4,BCC,,1550,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-103,,8.4,BCC,,1380,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-103,,8.4,BCC,,1370,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-43,,8.4,BCC,,1200,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-43,,8.4,BCC,,1180,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,72,,8.4,BCC,,1040,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,72,,8.4,BCC,,1020,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,25,,8.4,BCC,,1150,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,25,,8.4,BCC,,1100,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-269,,8.4,BCC,,2390,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-196,,8.4,BCC,,1920,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-153,,8.4,BCC,,1370,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-103,,8.4,BCC,,1250,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,-43,,8.4,BCC,,1020,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,72,,8.4,BCC,,640,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.667Ta0.333Ti1Zr0.833,WROUGHT,C,25,,8.4,BCC,,890,,,100,,,10.1016/j.msea.2017.10.073,
Hf0.5Nb0.75Ti2V1Zr1,CAST,C,25,6.77,6.787672183,BCC,,1025,,,100.3005773,50,50,,Prof.Yeh-RHEA
Hf0.5Nb1Ti2V1Zr1,CAST,C,25,6.84,6.866942619,BCC,,980,,,100.5085826,50,50,,Prof.Yeh-RHEA
Hf0.5Ti2V1Zr1,CAST,C,25,6.47,6.498698848,BCC,,1160,,,99.54231228,50,50,,Prof.Yeh-RHEA
Hf0.787Nb0.142Ta0.142Ti1Zr0.787,WROUGHT,T,25,,8.5,BCC,,540,995,,92,,,10.1080/21663831.2016.1221861,
Hf1Mo0.25Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,395,1112,,96,115,50,,10.1016/j.matlet.2016.03.133,
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,1000,,8.5,BCC+Sec.,,398,430,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,25,,8.5,BCC+Sec.,,1617,2016,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,1200,,8.5,BCC+Sec.,,166,187,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,23,8.46,8.5,BCC+Sec.,,1617,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,1000,8.46,8.5,BCC+Sec.,,398,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.3Ti1V0.5,CAST,C,1200,8.46,8.5,BCC+Sec.,,166,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,1000,,8.2,BCC+Sec.,,614,696,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,25,,8.2,BCC+Sec.,,1787,2052,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,1200,,8.2,BCC+Sec.,,188,219,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,23,8.16,8.2,BCC+Sec.,,1787,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,1000,8.16,8.2,BCC+Sec.,,614,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.5Ti1V0.5,CAST,C,1200,8.16,8.2,BCC+Sec.,,188,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,1000,,7.9,BCC+Sec.,,673,741,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,25,,7.9,BCC+Sec.,,2134,2242,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,1200,,7.9,BCC+Sec.,,235,268,,,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,23,7.89,7.9,BCC+Sec.,,2134,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,1000,7.89,7.9,BCC+Sec.,,673,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Si0.7Ti1V0.5,CAST,C,1200,7.89,7.9,BCC+Sec.,,235,,,,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,480,1317,,102,123,50,,10.1016/j.matlet.2016.03.133,
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,1000,,9,BCC,,368,394,,126,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,1200,,9,BCC,,60,,,126,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,25,,9,BCC,,1260,,,126,,,10.1016/j.jallcom.2016.10.014,
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,23,8.96,9,BCC,,1260,,,126,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,1000,8.96,9,BCC,,368,,,126,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.5Nb1Ti1V0.5,CAST,C,1200,8.96,9,BCC,,60,,,126,,,10.1016/j.actamat.2019.06.032,
Hf1Mo0.75Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,492,1373,,109,130,50,,10.1016/j.matlet.2016.03.133,
Hf1Mo1Nb1Ta1Ti1,CAST,C,25,,10.8,BCC,,1369,,,155,27,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1,CAST,C,800,,10.8,BCC,,822,,,155,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1,CAST,C,1000,,10.8,BCC,,778,,,155,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1,CAST,C,1200,,10.8,BCC,,699,,,155,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1,CAST,C,1400,,10.8,BCC,,367,,,155,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1W1Zr1,CAST,C,25,,11.1,BCC+Laves,,1637,,,,15.5,,10.1016/j.jallcom.2019.06.138,
Hf1Mo1Nb1Ta1Ti1W1Zr1,CAST,C,800,,11.1,BCC+Laves,,1065,,,,35,,10.1016/j.jallcom.2019.06.138,
Hf1Mo1Nb1Ta1Ti1W1Zr1,CAST,C,1000,,11.1,BCC+Laves,,736,,,,35,,10.1016/j.jallcom.2019.06.138,
Hf1Mo1Nb1Ta1Ti1W1Zr1,CAST,C,1200,,11.1,BCC+Laves,,703,,,,35,,10.1016/j.jallcom.2019.06.138,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,,1512,,,137,12,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,800,,9.9,BCC,,1007,,,137,12,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,1000,,9.9,BCC,,814,,,137,23,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,1200,,9.9,BCC,,556,,,137,30,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,505,1512,1800,115,137,30,,10.1016/j.matlet.2016.03.133,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,505,1512,,,137,,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,800,,9.9,BCC,,1007,,,137,,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,1000,,9.9,BCC,,814,,,137,,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,1200,,9.9,BCC,,556,,,137,12,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,23,9.93,9.9,BCC,,1512,,,137,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,1000,9.93,9.9,BCC,,814,,,137,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Nb1Ta1Ti1Zr1,CAST,C,1200,9.93,9.9,BCC,,556,,,137,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Nb1Ta1Zr1,CAST,C,25,,10.9,BCC,,1524,,,141,16,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Zr1,CAST,C,800,,10.9,BCC,,1005,,,141,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Zr1,CAST,C,1000,,10.9,BCC,,927,,,141,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Zr1,CAST,C,1200,,10.9,BCC,,694,,,141,,,10.3390/e21010015,
Hf1Mo1Nb1Ta1Zr1,CAST,C,1400,,10.9,BCC,,278,,,141,,,10.3390/e21010015,
Hf1Mo1Nb1Ti1Zr1,CAST,C,25,,8.7,BCC,,1351,,,128,9,,10.3390/e21010015,
Hf1Mo1Nb1Ti1Zr1,CAST,C,800,,8.7,BCC,,829,,,128,50,,10.3390/e21010015,
Hf1Mo1Nb1Ti1Zr1,CAST,C,1000,,8.7,BCC,,721,,,128,50,,10.3390/e21010015,
Hf1Mo1Nb1Ti1Zr1,CAST,C,1200,,8.7,BCC,,301,,,128,50,,10.3390/e21010015,
Hf1Mo1Nb1Ti1Zr1,ANNEAL,C,25,,8.7,BCC,,1575,1640,,128,10,,10.1016/j.matdes.2015.05.019,
Hf1Mo1Nb1Ti1Zr1,ANNEAL,C,800,,8.7,BCC,,825,1095,,128,,,10.1016/j.matdes.2015.05.019,
Hf1Mo1Nb1Ti1Zr1,ANNEAL,C,1000,,8.7,BCC,,635,654,,128,,,10.1016/j.matdes.2015.05.019,
Hf1Mo1Nb1Ti1Zr1,ANNEAL,C,1200,,8.7,BCC,,187,194,,128,,,10.1016/j.matdes.2015.05.019,
Hf1Mo1Nb1Ti1Zr1,CAST,C,25,,8.7,BCC,,1719,1803,,128,,,10.1016/j.matdes.2015.05.019,
Hf1Mo1Nb1Ti1Zr1,CAST,C,25,8.68,8.7,BCC,,1719,,,128,20,,10.1016/j.intermet.2015.10.011,
Hf1Mo1Nb1Ti1Zr1,CAST,C,23,8.68,8.7,BCC,,1575,,,128,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Nb1Ti1Zr1,CAST,C,1000,8.68,8.7,BCC,,635,,,128,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Nb1Ti1Zr1,CAST,C,1200,8.68,8.7,BCC,,187,,,128,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Ta1Ti1Zr1,CAST,C,25,,10.2,BCC,,1600,,,143,4,,10.3390/e21010015,
Hf1Mo1Ta1Ti1Zr1,CAST,C,800,,10.2,BCC,,1045,,,143,19,,10.3390/e21010015,
Hf1Mo1Ta1Ti1Zr1,CAST,C,1000,,10.2,BCC,,855,,,143,30,,10.3390/e21010015,
Hf1Mo1Ta1Ti1Zr1,CAST,C,1200,,10.2,BCC,,404,,,143,30,,10.3390/e21010015,
Hf1Mo1Ta1Ti1Zr1,CAST,C,25,,10.2,BCC,542,1600,1743,,143,,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Ta1Ti1Zr1,CAST,C,800,,10.2,BCC,,1045,1446,,143,,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Ta1Ti1Zr1,CAST,C,1000,,10.2,BCC,,855,,,143,,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Ta1Ti1Zr1,CAST,C,1200,,10.2,BCC,,404,,,143,4,,10.1016/j.intermet.2015.03.013,
Hf1Mo1Ta1Ti1Zr1,CAST,C,23,10.18,10.2,BCC,,1600,,,143,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Ta1Ti1Zr1,CAST,C,1000,10.18,10.2,BCC,,855,,,143,,,10.1016/j.actamat.2019.06.032,
Hf1Mo1Ta1Ti1Zr1,CAST,C,1200,10.18,10.2,BCC,,404,,,143,,,10.1016/j.actamat.2019.06.032,
Hf1Nb1Si0.5Ti1V1,CAST,C,800,,7.8,BCC+Sec.,,875,,,,50,,10.1016/j.matlet.2016.03.092,
Hf1Nb1Si0.5Ti1V1,CAST,C,1000,,7.8,BCC+Sec.,,240,,,,50,,10.1016/j.matlet.2016.03.092,
Hf1Nb1Si0.5Ti1V1,CAST,C,25,,7.8,BCC+Sec.,490,1399,1608,,,11,,10.1016/j.matlet.2016.03.092,
Hf1Nb1Si0.5Ti1V1Zr1,ANNEAL,C,400,,7.5,BCC+Laves+Sec.,,1273,1335,,,14.5,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Si0.5Ti1V1Zr1,ANNEAL,C,600,,7.5,BCC+Laves+Sec.,,597,651,,,50,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Si0.5Ti1V1Zr1,ANNEAL,C,800,,7.5,BCC+Laves+Sec.,,102,107,,,50,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Si0.5Ti1V1Zr1,ANNEAL,C,25,,7.5,BCC+Laves+Sec.,,1483,1611,,,9.5,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Si0.5Ti1V1Zr1,CAST,C,600,,7.5,BCC+Laves+Sec.,,920,1252,,,50,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Si0.5Ti1V1Zr1,CAST,C,800,,7.5,BCC+Laves+Sec.,,371,427,,,50,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Si0.5Ti1V1Zr1,CAST,C,25,,7.5,BCC+Laves+Sec.,,1540,1643,,,16.8,,10.4028/www.scientific.net/MSF.849.76,
Hf1Nb1Ta1Ti1,ANNEAL,,,,10.9,BCC,280,,,,119,,,10.1016/j.matdes.2018.06.003,
Hf1Nb1Ta1Ti1,CAST,,,,10.9,BCC,270,,,,119,,,10.1016/j.matdes.2018.06.003,
Hf1Nb1Ta1Ti1,ANNEAL,C,20,,10.9,BCC,,860,,,119,,,10.1016/j.actamat.2019.06.006,
Hf1Nb1Ta1Ti1,ANNEAL,C,20,,10.9,BCC,,834,,,119,,,10.1016/j.actamat.2019.06.006,
Hf1Nb1Ta1Ti1,ANNEAL,C,200,,10.9,BCC,,610,,,119,,,10.1016/j.actamat.2019.06.006,
Hf1Nb1Ta1Ti1,ANNEAL,C,600,,10.9,BCC,,473,,,119,,,10.1016/j.actamat.2019.06.006,
Hf1Nb1Ta1Ti1W1Zr1,CAST,C,25,,11.2,BCC+Laves,,1550,,,,26.3,,10.1016/j.jallcom.2019.06.138,
Hf1Nb1Ta1Ti1W1Zr1,CAST,C,800,,11.2,BCC+Laves,,577,,,,35,,10.1016/j.jallcom.2019.06.138,
Hf1Nb1Ta1Ti1W1Zr1,CAST,C,1000,,11.2,BCC+Laves,,409,,,,35,,10.1016/j.jallcom.2019.06.138,
Hf1Nb1Ta1Ti1W1Zr1,CAST,C,1200,,11.2,BCC+Laves,,345,,,,35,,10.1016/j.jallcom.2019.06.138,
Hf1Nb1Ta1Ti1Zr1,CAST,T,25,,9.9,BCC,359,1155,1212,59,107,50,,10.3390/e21020114,
Hf1Nb1Ta1Ti1Zr1,CAST,T,25,,9.9,BCC,,828,862,,107,50,,10.1016/j.msea.2015.12.017,
Hf1Nb1Ta1Ti1Zr1,CAST,T,25,,9.9,BCC,,827,856,,107,50,,10.1016/j.msea.2015.12.017,
Hf1Nb1Ta1Ti1Zr1,CAST,T,25,,9.9,BCC,,820,869,,107,50,,10.1016/j.msea.2015.12.017,
Hf1Nb1Ta1Ti1Zr1,CAST,T,25,,9.9,BCC,,803,810,,107,50,,10.1016/j.msea.2015.12.017,
Hf1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,,905,,,107,50,,10.1016/j.msea.2015.08.024,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,958,974,,107,50,,10.1016/j.matlet.2016.08.060,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,944,959,,107,50,,10.1016/j.matlet.2016.08.060,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,T,25,,9.9,BCC,,940,953,,107,7.9,,10.1016/j.matlet.2016.08.060,
Hf1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,335,1015,,85,,1.7,,10.1016/j.matlet.2016.03.133,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,,,9.9,BCC,,,,,,5,,10.1016/j.matchar.2018.07.015,
Hf1Nb1Ta1Ti1Zr1,CAST,C,25,,9.9,BCC,,890,,,107,9.2,,10.1016/j.matchar.2015.11.018,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,20,,9.9,BCC,,,,88.9,107,4.7,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,40,,9.9,BCC,,,,88.6,,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,60,,9.9,BCC,,,,88.4,107,9.7,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,80,,9.9,BCC,,,,88.1,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,100,,9.9,BCC,,,,87.9,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,120,,9.9,BCC,,,,87.7,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,140,,9.9,BCC,,,,87.5,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,160,,9.9,BCC,,,,87.3,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,180,,9.9,BCC,,,,87.1,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,200,,9.9,BCC,,,,86.9,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,220,,9.9,BCC,,,,86.7,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,240,,9.9,BCC,,,,86.5,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,260,,9.9,BCC,,,,86.3,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,280,,9.9,BCC,,,,86.1,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,300,,9.9,BCC,,,,85.8,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,320,,9.9,BCC,,,,85.5,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,340,,9.9,BCC,,,,85.2,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,360,,9.9,BCC,,,,84.9,107,15.7,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,380,,9.9,BCC,,,,84.5,107,12.6,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,400,,9.9,BCC,,,,84.2,107,10.8,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,420,,9.9,BCC,,,,83.8,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,440,,9.9,BCC,,,,83.5,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,460,,9.9,BCC,,,,83.1,107,,,10.1016/j.jallcom.2019.05.322,
Hf1Nb1Ta1Ti1Zr1,WROUGHT,,480,,9.9,BCC,,,,82.7,107,,,10.1016/j.jallcom.2019.05.322,
