FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,0,,547.0,840.0,,185.0,11.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,0,,399.0,575.0,,185.0,9.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,900.0,,7.4,0,,243.0,319.0,,185.0,6.0,,10.3390/e21020169,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,T,25.0,,7.2,0,,320.0,625.0,,195.0,42.2,42.45,10.1016/j.msea.2019.05.056,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,T,25.0,,7.2,0,,1400.0,1500.0,,195.0,5.83,7.85,10.1016/j.msea.2019.05.056,
Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,,,25.0,7.6,7.551427889,0,487.0,,,,200.778353,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,7.7,0,171.0,220.0,,,212.0,56.0,,10.1016/j.actamat.2013.09.037,
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.8,0,,,,,190.0,,,10.1063/1.3587228,
Al0.2 Cr1 Cu1 Fe1 Ni2,,,25.0,8.0,8.035241948,0,,,,,197.0352363,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.2 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,9.3,1,,1021.0,1249.0,,183.0,,,10.4028/www.scientific.net/MSF.898.638,
